Date of Query|Time of Query|Premises Name|Address|postcode|Local Authorities|Business Type|Products Sold|Company Name|Status
10/18/2020|01:00:14| BAR B Q KING |31 Whytescauseway,|KY1 1XF|Fife|Other Catering|Tobacco And Nicotine Vapour Products|BAR B Q KING |Active
10/18/2020|01:00:14| Birkmyre Store|15 Birkmyre Avenue,|PA14 5AR|Inverclyde|Convenience Store|Tobacco And Nicotine Vapour Products|Birkmyre store|Active
10/18/2020|01:00:14| BP Burnbank |British Petroleum Co plc, Service Station, 91 Burnbank Road|ML3 9AN|South Lanarkshire|Forecourt Garage|Tobacco And Nicotine Vapour Products|Roshan Francisxavier |Active
10/18/2020|01:00:14| UR7 LTD|Fone Republic, 276B High Street|EH49 7ER|West Lothian|Other Retail|Tobacco And Nicotine Vapour Products|UR7 LTD|Active
10/18/2020|01:00:14| Wrap Bar ,Kings Buildings Shop Ltd|Kings Building, University of Edinburgh, Mary Bruck Building, Colin Maclaurin Road , Edinburgh , EH9 3DW|EH9 3DW|Edinburgh City|Other Retail|Tobacco And Nicotine Vapour Products|Edinburgh University Students Assosciation|Active
10/18/2020|01:00:14|(Keystore) G&M Newsagents|281-283 High Street, Leslie|KY6 3AX|Fife|Confectionary / Tobacconist / Newsagents|Tobacco Only|G&M Newsagents|Inactive
10/18/2020|01:00:14|@home|72-76 Murraygate,|DD1 2BB|Dundee City|Supermarket and Other Retail Outlets|Nicotine Vapour Products Only|shery trading|Active
10/18/2020|01:00:14|1 Stop News|366 Cumbernauld Road,|G31 3NQ|Glasgow City|Convenience Store|Tobacco Only|1 Stop News|Active
10/18/2020|01:00:14|10 Dollar Shake|9 Knockothie Road,|AB41 9EG|Aberdeenshire|Other Catering|Tobacco Only|10 Dollar Shake|Active
10/18/2020|01:00:14|10 oclock shop|23 glasgow road, wishaw|ML2 7PG|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|maukinfauld ltd|Active
10/18/2020|01:00:14|10 o'clock shop|135 garscadden road,|G15 6UQ|Glasgow City|Convenience Store|Tobacco Only|ats management t/a 10 o'clock shop|Active
10/18/2020|01:00:14|10 O'Clock Shop|694B Old Edinburgh Road, Viewpark|G71 6LD|North Lanarkshire|Off-Licence|Tobacco Only|10 O'Clock Shop|Active
10/18/2020|01:00:14|100 Acre|360 Curtis Avenue,|G73 2EB|South Lanarkshire|Public House|Tobacco Only|Bonatti Bros|Active
10/18/2020|01:00:14|107/109 Cheviot Crescent |107/109 Cheviot Crescent ,|DD4 9QR|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|Mohammed Dih|Active
10/18/2020|01:00:14|11 o'clock Shop|66 Long Row,|PA28 6DD|Argyll and Bute|Convenience Store|Tobacco Only|11 o'clock Shop|Active
10/18/2020|01:00:14|11 Scotland Limited |Best One , 1763 - 1765 Cumbernauld Road|G33 1AA|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Hyndland Street Convenience|Active
10/18/2020|01:00:14|12 cathkin drive|Sweet News, 12 Cathkin Drive, Clarkston|G76 7PF|East Renfrewshire|Convenience Store|Tobacco Only|Cathkin news Ltd|Active
10/18/2020|01:00:14|12/14|12/14 Eral Gray Street,|EH3 9BN|Edinburgh City|Other Retail|Tobacco Only|bargain spot|Inactive
10/18/2020|01:00:14|120 Hilltown Ltd |Hilton Convenience Store, 120 Hilltown|DD3 7BG|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|120 Hilltown Ltd. |Active
10/18/2020|01:00:14|12-14 Jeffrey street|12-14 Jeffrey street,|EH1 1DT|Edinburgh City|Other Retail|Tobacco Only|Dochgarroch and Santiago ltd|Active
10/18/2020|01:00:21|123 Deli & Shop|28a Greenhill Road, Rutherglen|G73 2SP|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|123 Deli & Shop|Inactive
10/18/2020|01:00:21|125 Roman road|125 Roman road,|ML1 1EA|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|S&z store ltd|Active
10/18/2020|01:00:21|127 old castle news agent|127 old castle news agent,|G44 5TJ|Glasgow City|Other Retail|Tobacco Only|old castle news agent|Active
10/18/2020|01:00:21|131|131 Station Road,|ML7 4BJ|North Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|David & Isla Brown (Newsagents) t/a 131|Inactive
10/18/2020|01:00:21|131 newsagents|131 station road,|ML7 4BJ|North Lanarkshire|Convenience Store|Tobacco Only|131 newsagents|Active
10/18/2020|01:00:21|133 134Main street newtongrag|Post Office, 133 Main Street, Newtongrange|EH22 4PF|Midlothian|Off-Licence|Tobacco And Nicotine Vapour Products|best one newtongrag|Active
10/18/2020|01:00:21|143 high st|143 high st,|G1 1PH|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|vehniwals|Active
10/18/2020|01:00:21|18 Lindsay Drive|18 Lindsay Drive,|KA3 7LJ|North Ayrshire|Off-Licence|Tobacco And Nicotine Vapour Products|Premier Stores|Active
10/18/2020|01:00:21|18 teviot place|18 teviot place,|EH1 2QZ|Edinburgh City|Convenience Store|Tobacco Only|Le petit marche|Inactive
10/18/2020|01:00:21|192 carseview|192, carseview|FK10 2ST|Clackmannanshire|Mobile Trade|Tobacco Only|KCices|Inactive
10/18/2020|01:00:21|19th hole|main street, southerness|DG2 8AZ|Dumfries and Galloway|Public House|Tobacco Only|19 th hole|Active
10/18/2020|01:00:21|1st 4 convenience|296 main street, bellshill|ML4 1AB|North Lanarkshire|Convenience Store|Tobacco Only|1st 4 convenience|Inactive
10/18/2020|01:00:21|1st choice superstore|159 pitkerro road,|DD4 8DH|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|1st choice superstore|Active
10/18/2020|01:00:21|1st Stop 2 Shop|32-38 Fintry Drive,|DD4 9PB|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|1st Stop 2 Shop|Active
10/18/2020|01:00:21|1st stop 2 shop|81 south street,|DD8 2BS|Angus|Convenience Store|Tobacco And Nicotine Vapour Products|1st STOP 2 SHOP|Active
10/18/2020|01:00:21|1st stop 2 shop|3 shielhill road,|DD8 4PN|Angus|Convenience Store|Tobacco Only|1st STOP 2 SHOP|Inactive
10/18/2020|01:00:21|1st Stop 2 Shop|74-76 Glamis Road,|DD8 5DD|Angus|Convenience Store|Tobacco Only|1st Stop 2 Shop|Active
10/18/2020|01:00:21|1ST STOP 2 SHOP|74-76 GLAMIS ROAD,|DD8 5DD|Angus|Convenience Store|Tobacco And Nicotine Vapour Products|SHEENI & ZAKI  LTD|Active
10/18/2020|01:00:21|2 Go Stores Ltd (Rossie Island Shop)|33 Rossie Island Road,|DD10 9NR|Angus|Confectionary / Tobacconist / Newsagents|Tobacco Only|2go stores ltd|Active
10/18/2020|01:00:21|2 Victoria Buildings - Pharmacy|2 Victoria Buildings`, Drumna|N63 6TU|Highland|Other Retail|Nicotine Vapour Products Only|Donal Bolger|Active
10/18/2020|01:00:28|20 Annsfield Road|20 Annsfield Road,|ML3 8BQ|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Shaz CONVENIENCE store Ltd |Active
10/18/2020|01:00:28|21 Dalrymple Street|21, dalrymple street|KA26 9EU|South Ayrshire|Other Retail|Nicotine Vapour Products Only|THE LAND OF BARGAINS|Inactive
10/18/2020|01:00:28|225-229|SARACEN STREET,|G22 5JW|Glasgow City|Convenience Store|Tobacco Only|SCOTT NEWS|Active
10/18/2020|01:00:28|24 HOUR SHOP|380 Dumbarton Road,|G11 6RZ|Glasgow City|Entertainment Venue|Tobacco Only|Closer To Ltd|Active
10/18/2020|01:00:28|24/7 Shops|404 Byres Road,|G12 8AS|Glasgow City|Convenience Store|Tobacco Only|Dusk til Dawn (Byres) Ltd|Active
10/18/2020|01:00:28|25|sandbank street, maryhill|G20 0PQ|Glasgow City|Convenience Store|Tobacco Only|pba superstore|Active
10/18/2020|01:00:28|27 Ladymuir Crescent|27 Ladymuir Crescent, Pollock|G53 5UE|Glasgow City|Convenience Store|Tobacco Only|salvie store ltd|Active
10/18/2020|01:00:28|27 ladymuir crescent|27, Ladymuir crescent|G53 5UE|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|New sialvie ltd|Active
10/18/2020|01:00:28|29 Private Members Club|29 Royal Exchange Square,|G1 3AJ|Glasgow City|Entertainment Venue|Tobacco Only|One up trading as glenerrol|Active
10/18/2020|01:00:28|296 cumbernauld road|296 cumbernauld road,|G31 2UL|Glasgow City|Convenience Store|Tobacco Only|ashraif ltd|Active
10/18/2020|01:00:28|2c drinks n things|331, calder road|EH11 4AH|Edinburgh City|Off-Licence|Tobacco Only|2c drinks n things|Inactive
10/18/2020|01:00:28|3 CARFIN STREET|3/1 3 Carfin Street,|G42 7QA|Glasgow City|Convenience Store|Tobacco Only|SM PK STORE|Active
10/18/2020|01:00:28|3 in 1 Xtra|67-69 Elmbank Street,|G2 4PQ|Glasgow City|Other Catering|Tobacco Only|3 in 1 Fast Foods Ltd|Active
10/18/2020|01:00:28|35|35 main street roslin,|EH25 9LA|Midlothian|Convenience Store|Tobacco Only|roslin moni market|Active
10/18/2020|01:00:28|375a Victoria Road|375a Victoria Road,|G42 8RZ|Glasgow City|Other Retail|Tobacco And Nicotine Vapour Products|Ebrahim Ahmed|Active
10/18/2020|01:00:28|3cornerbestonestore |M Sharif Supermarked Offsales, 3 Grougar Road, Crookedholm|KA3 6LD|East Ayrshire|Convenience Store|Tobacco And Nicotine Vapour Products|3cornerbestonestore ltd|Active
10/18/2020|01:00:28|4 aces cafe|217 High Street,|KY4 9QF|Fife|Other Catering|Tobacco Only|4 aces catering services|Inactive
10/18/2020|01:00:28|4 S News|87 Commercial Road, Gorbals|G5 0RG|Glasgow City|Convenience Store|Tobacco Only|4 S News|Active
10/18/2020|01:00:28|40 High Street|40 High Street,|PA1 2DQ|Renfrewshire|Other Catering|Tobacco Only|Z&S Traders Ltd|Inactive
10/18/2020|01:00:28|40 victoria roads|40 victoria roads, torry|AB11 9DR|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco Only|tony newsagents|Inactive
10/18/2020|01:00:35|43 Barnton Street|43 Barnton Street,|FK8 1HF|Stirling|Convenience Store|Tobacco And Nicotine Vapour Products|43 Barnton Street|Active
10/18/2020|01:00:35|4-6 Old Sneddon Street|4-6 Old Sneddon Street,|PA3 2AL|Renfrewshire|Off-Licence|Tobacco And Nicotine Vapour Products|4-6 Old Sneddon Street|Active
10/18/2020|01:00:35|47|St Catherines Crecent,|ML7 4JG|North Lanarkshire|Other Retail|Tobacco Only|Angies Ices|Active
10/18/2020|01:00:35|5 star newsagent|32 Glasgow road, Barrhead|G78 1BU|East Renfrewshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|Red road grocer|Active
10/18/2020|01:00:35|51 Wine Bar & Bistro|51 Main Street,|DG8 0PP|Dumfries and Galloway|Other Catering|Tobacco Only|Glenluce Post Office and Store|Active
10/18/2020|01:00:35|52|main street, neilston|G78 3NJ|East Renfrewshire|Other Catering|Tobacco Only|Flames Tandoori Ltd|Active
10/18/2020|01:00:35|524 Bar Ltd|524 George Street,|AB25 3XJ|Aberdeen City|Public House|Tobacco Only|524 Bar Ltd|Active
10/18/2020|01:00:35|5505 - Balmacara House|Aramark Balmacara House, Balmacara|IV40 8DH|Highland|Other Catering|Tobacco Only|Aramark|Active
10/18/2020|01:00:35|56 North|56 North, 2 West Crosscauseway|EH8 9JP|Edinburgh City|Public House|Tobacco Only|Sutherland Hospitality Limited|Active
10/18/2020|01:00:35|60-62 Main Road|60-62 Main Road, Kirkoswald|KA19 8HY|South Ayrshire|Convenience Store|Tobacco Only|Kirkoswald P.O. and General Store|Inactive
10/18/2020|01:00:35|7 Day news|275/277, Broughty Ferry|DD5 2AG|Dundee City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Farooq Traders Ltd|Active
10/18/2020|01:00:35|7 Day News|325, Hilltown|DD3 7AQ|Dundee City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Farooq Traders Ltd|Active
10/18/2020|01:00:35|7 Days News|383 sauchiehall street, glasgow|G2 3HU|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|7 Days News|Active
10/18/2020|01:00:35|7 eleven new|6 kenneder drive,|G51 4PT|Glasgow City|Other Retail|Tobacco Only|7 eleven news|Active
10/18/2020|01:00:35|7 star spices|18 quarrywood avenue, Barrmulloch|G21 3ES|Glasgow City|Other Catering|Tobacco Only|7 star spices|Active
10/18/2020|01:00:35|7 two 10  convenience  store limited  T/A 7 two 10 FAMILY SHOPPER |UNIT 1 ,1 Lothian Crescent,|DD4 0HU|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|7 TWO 10 CONVENIENCE STORE LIMITED |Active
10/18/2020|01:00:35|710 VACS LIMITED|ECO HOUSE, WESTER GOURDIE IND. ESTATE, NOBEL ROAD|DD2 4XE|Dundee City|Other Retail|Tobacco And Nicotine Vapour Products|710 VACS LIMITED|Active
10/18/2020|01:00:35|727 Newsagent|Post Office, Main Street|KW3 6AE|Highland|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|727 Newsagent|Active
10/18/2020|01:00:35|78-80dunholm |78/80 dunholm ,|DD2 4RU|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|Gk relailing limited |Active
10/18/2020|01:00:35|7-Eight|71 South Bridge Street,|EH48 1TJ|West Lothian|Convenience Store|Tobacco Only|A.Brothers Company Limited|Inactive
10/18/2020|01:00:42|7to7|232 paisley road, renfrew|PA4 8AA|Renfrewshire|Convenience Store|Tobacco Only|7to7|Inactive
10/18/2020|01:00:42|8-2-8|7/9 , CHURCH ST|KY11 1LG|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|8-2-8|Inactive
10/18/2020|01:00:42|8315 - NAAFI Store|Naval Families Estate, 51 Sherbrooke Road|KY11 2YR|Fife|Convenience Store|Tobacco Only|Aramark|Inactive
10/18/2020|01:00:42|8352 - NAAFI Store Aramark|RAF Kinloss, Forres|IV36 0KG|Moray|Convenience Store|Tobacco Only|Aramark|Active
10/18/2020|01:00:42|8515 Naafi Store - RM Condor|Aramark Block 211, RM Condor|DD11 3SJ|Angus|Convenience Store|Tobacco Only|Aramark|Active
10/18/2020|01:00:42|86|CBDCartel.co.uk, 86 Victoria Road|AB11 9DT|Aberdeen City|Other Retail|Nicotine Vapour Products Only|animus Concia limited|Active
10/18/2020|01:00:42|86 union st, kelty|WORKSHOP / 86, UNION STREET|KY4 0EF|Fife|Other Retail|Nicotine Vapour Products Only|VDS|Active
10/18/2020|01:00:42|99 Hanover Street|99 Hanover Street,|EH2 1DJ|Edinburgh City|Public House|Tobacco Only|99 Hanover Street Limited|Inactive
10/18/2020|01:00:42|A & A Caldwell|88 High Street,,|EH44 6HF|Scottish Borders|Confectionary / Tobacconist / Newsagents|Tobacco Only|A & A Caldwell|Active
10/18/2020|01:00:42|A & A Mini Market|32 Harris Court,|FK10 1DD|Clackmannanshire|Convenience Store|Tobacco Only|A & A Mini Market Ltd|Active
10/18/2020|01:00:42|A & A NEWSAGENT |2 HIGH STREET ,|FK10 1JE|Clackmannanshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Hasan stores limited |Active
10/18/2020|01:00:42|A & A newsagents|2 high street,|FK10 1JE|Clackmannanshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|hasan stores ltd|Active
10/18/2020|01:00:42|A & C MacLean|The Square, Castlebay|HS9 5XD|Comhairle nan Eilean Siar|Other Retail|Tobacco Only|A & C MacLean|Active
10/18/2020|01:00:42|A & C ROSS|CENTRAL GARAGE, 64 MAIN STREET|ML11 8AA|South Lanarkshire|Forecourt Garage|Tobacco Only|A & C ROSS|Active
10/18/2020|01:00:42|A & C SMART|314 KING STREET,|AB24 5BJ|Aberdeen City|Convenience Store|Tobacco Only|A & C Smart Ltd|Active
10/18/2020|01:00:42|A & K Ices|324 High Street,|KY6 3AT|Fife|Mobile Trade|Tobacco Only|A & K Ices|Active
10/18/2020|01:00:42|A & M convenience store|2160-2162 dumbarton road,|G14 0JJ|Glasgow City|Convenience Store|Tobacco Only|A & M convenience store|Active
10/18/2020|01:00:42|A & M Edgars|23 Buccleuch st,|DG1 2AT|Dumfries and Galloway|Confectionary / Tobacconist / Newsagents|Tobacco Only|A & M Edgars|Active
10/18/2020|01:00:42|A & m TRENCH & SON|38-42 HAMILTON CRESCENT, NEWTONGRANGE|EH22 4BU|Midlothian|Convenience Store|Tobacco Only|A & M TRENCH & SON|Active
10/18/2020|01:00:42|A & P Savile Store|86/88 Mayfield Road,|EH9 3AF|Edinburgh City|Convenience Store|Tobacco Only|A & P Savile Store|Inactive
10/18/2020|01:00:49|A & R Stores|102 Motherwell St,|ML6 7EJ|North Lanarkshire|Off-Licence|Tobacco Only|A & R Stores|Active
10/18/2020|01:00:49|A & S Convenience Store|Craighill View,|EH48 3SY|West Lothian|Convenience Store|Tobacco Only|A & S Convenience Store|Active
10/18/2020|01:00:49|A & Z Stores|18 West Boreland Road, Denny|FK6 6NY|Falkirk|Convenience Store|Tobacco Only|A & Z Stores|Inactive
10/18/2020|01:00:49|A & Z Stores|A & Z Stores, 18 West Boreland Road|FK6 6NY|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|A & Z Stores |Active
10/18/2020|01:00:49|A A Newsagents|106 Glasgow Road,|FK6 5DN|Falkirk|Convenience Store|Tobacco Only|A A Newsagents|Active
10/18/2020|01:00:49|A AND R GROCERS|84 BRIDGEND ROAD,|PA15 2JJ|Inverclyde|Confectionary / Tobacconist / Newsagents|Tobacco Only|a and r grocers|Inactive
10/18/2020|01:00:49|A and R McCulloch|118 Hillside Drive,|DG9 7PW|Dumfries and Galloway|Convenience Store|Tobacco Only|A and R McCulloch|Active
10/18/2020|01:00:49|A C Currie t/a Keystore|55 Central Avenue,|KA10 7AZ|South Ayrshire|Convenience Store|Tobacco And Nicotine Vapour Products|A C Currie Ltd t/a Keystore|Active
10/18/2020|01:00:49|A D MUNRO|MAIN STREET, EAST TARBERT|HS3 3AL|Comhairle nan Eilean Siar|Convenience Store|Tobacco Only|A D MUNRO HARRIS LTD|Inactive
10/18/2020|01:00:49|A F & J Barrett|265 - 267 Byres Road,|G12 8TL|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|A F & J Barrett|Active
10/18/2020|01:00:49|A F K CATERING LTD|158 ST LEONARDS STREET,|ML11 7DX|South Lanarkshire|Mobile Trade|Tobacco Only|A F K CATERING LTD|Active
10/18/2020|01:00:49|A F Yule|11 Queen Street,|AB42 3DS|Aberdeenshire|Specialist Tobacconists|Tobacco And Nicotine Vapour Products|A F Yule|Active
10/18/2020|01:00:49|A G DUNLOP NEWSAGENTS|11 DALRYMPLE STREET,|KA26 9EU|South Ayrshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|A G DUNLOP NEWSAGENTS|Active
10/18/2020|01:00:49|A Humphray|East Isle, Skerries|ZE2 9AR|Shetland Islands|Confectionary / Tobacconist / Newsagents|Tobacco Only|A Humphray|Active
10/18/2020|01:00:49|A JOHNSTON AND SONS (DAVID WALDIE LTD)|97 CAMPERDOWN ROAD,|DD3 8RF|Dundee City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|DAVID WALDIE LTD|Active
10/18/2020|01:00:49|A M GRIEVE NEWSAGENTS|12, HIGH STREET|DG10 9HF|Dumfries and Galloway|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|A M GRIEVE NEWSAGENTS|Active
10/18/2020|01:00:49|A M Hogg, Newsagents|High Street, Gifford|EH41 4QU|East Lothian|Confectionary / Tobacconist / Newsagents|Tobacco Only|A M Hogg|Active
10/18/2020|01:00:49|A N F Newsagents|126 Dukes Road,,|G73 5AF|South Lanarkshire|Convenience Store|Tobacco Only|A N F Newsagents|Inactive
10/18/2020|01:00:49|A N Superstore|92 Glenhove Road, Cumbernauld|G67 2LA|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|A R Mini Market Ltd|Active
10/18/2020|01:00:49|A P MACARI ICES|TYRIE COTTAGE, 14 STATION ROAD|KY5 9QW|Fife|Mobile Trade|Tobacco Only|A P MACARI|Active
10/18/2020|01:00:55|A R Mini Market Ltd|Gulam Rasul & Son, 114-116 West Princes Street|G84 8XD|Renfrewshire|Convenience Store|Tobacco And Nicotine Vapour Products|A R Mini Market Ltd|Active
10/18/2020|01:00:55|a r traders|7 bain street, gallowgate|G40 2JZ|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|a r traders|Active
10/18/2020|01:00:55|a room in leith|1a Dock Place,|EH6 6LU|Edinburgh City|Restaurant|Tobacco Only|archie and richie ltd|Active
10/18/2020|01:00:55|A SHAKOOR & SON|5 GARTLEAHILL,|ML6 9LE|North Lanarkshire|Convenience Store|Tobacco Only|A SHAKOOR & SON|Active
10/18/2020|01:00:55|A Step Forward|32 St Andrews Street ,|DG7 1EL|Dumfries and Galloway|Other Retail|Nicotine Vapour Products Only|A Step Forward|Active
10/18/2020|01:00:55|"A Wahlberg & Sons ""Home Bakery"""|63/65 Main Street,|EH37 5PZ|Midlothian|Other Retail|Tobacco Only|albert Wahlberg & Sons|Active
10/18/2020|01:00:55|A Wee Dram|132 Tweedsmuir Road, Cardonald|G52 2RY|Glasgow City|Off-Licence|Tobacco Only|A Wee Dram|Active
10/18/2020|01:00:55|A Wee Dram Ltd|44, Sinclair Drive|G42 9QE|Glasgow City|Off-Licence|Tobacco Only|A Wee Dram|Active
10/18/2020|01:00:55|A Z Superstore|6-8 Webster Street, Whitecrook|G81 1AZ|West Dunbartonshire|Off-Licence|Tobacco Only|A Z Superstore|Active
10/18/2020|01:00:55|A&A Bargain Store|1 South Clerk Street,|EH8 9JD|Edinburgh City|Off-Licence|Tobacco Only|A&A Bargain Store|Active
10/18/2020|01:00:55|A&A Chaudry|824 Mosspark Drive, Cardonald|G52 3DA|Glasgow City|Convenience Store|Tobacco Only|A&A Chaudry|Active
10/18/2020|01:00:55|A&A Foodstore|52 Easter Road,|EH7 5RQ|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco Only|A&A Foodstore|Inactive
10/18/2020|01:00:55|A&A Ices|13 Carrick Place, Tamfourhill|FK1 4SB|Falkirk|Mobile Trade|Tobacco Only|A&A Ices|Active
10/18/2020|01:00:55|A&A Newsagents|41 South Trinity Road,|EH5 3PN|Edinburgh City|Convenience Store|Tobacco Only|A&A Newsagents|Active
10/18/2020|01:00:55|A&A Newsagents premier stores and post office|75-79 king street crieff,|PH7 3HB|Perth and Kinross|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|A&ANewsagents/Premier&post office|Active
10/18/2020|01:00:55|a&a stores|A & A Stores, 24 High Street East|KY10 3DQ|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|lawhill services ltd|Active
10/18/2020|01:00:55|A&A Superstores|2A White Hill Avenue,|G66 2JJ|East Dunbartonshire|Off-Licence|Tobacco And Nicotine Vapour Products|A&A Super Stores|Inactive
10/18/2020|01:00:55|A&A Superstores|92 Glenhove Road,|G67 2LA|North Lanarkshire|Off-Licence|Tobacco Only|A&A Super Stores|Active
10/18/2020|01:00:55|A&B ices|12 hazel avenue,|G82 5BW|West Dunbartonshire|Mobile Trade|Tobacco Only|A&B ices|Inactive
10/18/2020|01:00:55|A&B Partnership|Unit 4, South Elgin Street|G81 1PL|West Dunbartonshire|Mobile Trade|Tobacco Only|A&B Partnership|Active
10/18/2020|01:01:02|A&D Stores|61 Larkfield Road,|PA19 1YB|Inverclyde|Convenience Store|Tobacco Only|A&D Stores|Inactive
10/18/2020|01:01:02|A&D stores(gourock)ltd|Fultons Stores, 61 Larkfield Road|PA19 1YB|Inverclyde|Convenience Store|Tobacco And Nicotine Vapour Products|A&D stores (Gourock)ltd|Active
10/18/2020|01:01:02|A&E Ices|17 Lamont Crescent, Fallin|FK7 7EJ|Stirling|Mobile Trade|Tobacco Only|A&E Ices|Active
10/18/2020|01:01:02|A&F Newsagents|Paccitti Sweet Shop, 126 Dukes Road, Rutherglen|G73 5AF|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|A&F Newsagents|Active
10/18/2020|01:01:02|A&F Scotland ltd|40 Deacons Road, Kilsyth|G65 0BN|North Lanarkshire|Convenience Store|Tobacco Only|A&F scotland ltd|Inactive
10/18/2020|01:01:02|A&H CONVENIENCE STORE LTD.|1B RASHIEHILL TERRACE, BREICH|EH55 8JL|West Lothian|Off-Licence|Tobacco Only|A&H CONVENIENCE STORE LTD.|Active
10/18/2020|01:01:02|A&H Newsagents|161-163 Low Waters Road,|ML3 7QQ|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|A&H Newsagents|Inactive
10/18/2020|01:01:02|A&H Newsagents|76 Muir Street,|ML9 2BQ|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|A&H Newsagents|Inactive
10/18/2020|01:01:02|A&H Newsagents|163 Low Waters Road,|ML3 7QQ|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|A&H Newsagents|Active
10/18/2020|01:01:02|A&H Phillip Newsagents|170 Main Street,|KA9 1PG|South Ayrshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|A&H Phillip|Active
10/18/2020|01:01:02|A&J Brown Brown grocers|Carn Raineach, Camustiel|IV54 8LT|Highland|Confectionary / Tobacconist / Newsagents|Tobacco Only|A&J Brown Grocers|Active
10/18/2020|01:01:02|A&J Newsagents|27 South Street,|EH51 9HE|Falkirk|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|A&J Newsagents|Active
10/18/2020|01:01:02|A&J Snacks|19 Main Street,|FK7 9AW|Stirling|Other Catering|Tobacco Only|A&J Snacks|Inactive
10/18/2020|01:01:02|A&k stores|17, Justice street|AB11 5HS|Aberdeen City|Convenience Store|Tobacco And Nicotine Vapour Products|A&k stores|Active
10/18/2020|01:01:02|A&L Bryce|12 The Square,|KA18 1BG|East Ayrshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|A&L Bryce|Active
10/18/2020|01:01:02|A&L Newsagents|18 Hospital Hill,|KY11 3AT|Fife|Confectionary / Tobacconist / Newsagents|Tobacco Only|A&L Newsagents|Inactive
10/18/2020|01:01:02|A&M Caldwell|3 Stuart Street,|KA28 0AN|North Ayrshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|A&M Caldwell|Active
10/18/2020|01:01:02|A&N Stores|64 Philip Avenue, Boghall|EH48 1NG|West Lothian|Convenience Store|Tobacco Only|A&N Stores|Inactive
10/18/2020|01:01:02|a&o rana licenced grocers |126 Cumbrae Drive,|FK1 4AW|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|a&o rana licened grocers|Active
10/18/2020|01:01:02|A&P Jamieson t/a Ian Hamilton|78 High Street,|ML12 6BJ|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|A&P Jamieson t/a Ian Hamilton|Inactive
10/18/2020|01:01:08|a&r newsagents|135 pitkerro road, 135 pitkerro road|DD4 8EB|Dundee City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|a&r  newsagents|Active
10/18/2020|01:01:08|a&r supermarket|218 newhaven road,|EH6 4QE|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|a&r supermarket|Active
10/18/2020|01:01:08|A&S Asian Grocers (Halal Continental Food Store)|138 Graham Road,|FK2 7BZ|Falkirk|Convenience Store|Tobacco Only|A&S Asian Grocers (Halal Continental Food Store)|Active
